,No.,Nombre común,Common name,,Nombre científico,Forma biológica/ Tipo de crecimiento,,Medidas (m),,,Follaje,,,Floración,,,Fruto (maduro),,,Tronco o tallo,,Hábitat,,Agua,Tasa de crecimiento,Persistencia de la hoja,Distribución Natural,Ecología,Usos,Observaciones,Mantenimiento general,,,,,,,,,,
,,1. https://gardenoracle.com/images/parkinsonia-hybrid.html,2. https://www.civanonursery.com/plant-catalog/desert-museum-palo-verde-parkinsonia-hybrid-desert-museum/,3. http://www.aridzonetrees.com/cercidium-hybrid--desert-museum-.html,4. https://www.monrovia.com/plant-catalog/plants/1146/desert-museum-palo-verde/,5. https://latimesblogs.latimes.com/home_blog/2011/08/palo-verde-desert-museum.html,6. https://www.houzz.com/magazine/great-design-plant-desert-museum-palo-verde-offers-a-colorful-canopy-stsetivw-vs~17907565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,"Palo verde amarillo, dipua","Foothill palo verde, littleleaf palo verde",Fabaceae,Parkinsonia microphylla (Cercidium microphyllum)           Fecha de conversión: 2019-05,Árbol pequeño o arbusto grande,Aparasolada,4.00-6.00 m,5.00-6.00 m,Hasta 0.30 m (5),"Compuestas, nacen en tallos con espinas, sin un pecíolo con 1 par de pinnas",Foliolos con margen entero,Verde amarillento,Racimos,Bicolor con cuatro pétalos amarillos y una bandera blanca,Marzo-Mayo,Vaina,Pardo a pajizo,Mayo-Junio,Verde amarillenta,Lisa,"Crece en laderas rocosas, colinas del desierto y mesetas, en elevaciones de 500 a 4000 msnm (6)",Pleno sol,Bajo,Lento  Moderado,Semicaducifolio,"México, Suroeste de Arizona, y Sureste de California.","Sus frutos son alimento de mamíferos menores, aves y reptiles. ",Las semillas se secan y se tuestan antes de ser molidas en harina para papitas o pasteles. Las vainas verdes se pueden comer crudas.,"Su distribución es limitada por herbívoria de diferentes insectos, ataque de escarabajos y de roedores.",El deshierbe es importante para evitar incendios de consecuencias.,Regular para dar forma y renforzar la estructura,Moderado,Se les puede abonar con un aporte anual de fertilizante mineral en primavera.,Ataque de escarabajos y de roedores.,"Se mezclan bien con otras plantas del desierto, como palo fierro y mezquite",Semilla y estacas,"La planta debidamente cubierta para protegerla de la turbulencia del aire y la insolación, factores que puede provocar intensa deshidratación e inclusive la muerte de la planta",Profunda,-,
,,http://www.lasecomujeres.org/plants/ucbee_2015/feb2015_e.html,http://www.mswn.com/media/plants/parkinsonia_microphylla.pdf,http://www.conafor.gob.mx:8080/documentos/docs/13/900Cercidium%20microphyllum.pdf,http://swbiodiversity.org/seinet/taxa/index.php?taxon=1413,5. http://www.conafor.gob.mx:8080/documentos/docs/13/900Cercidium%20microphyllum.pdf,6. http://aridzonetrees.com/cercidium-microphyllum.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,Palo brea,Sonoran palo verde,Fabaceae,Parkinsonia praecox,Arbol pequeño ,Irregular,7.00 m,5.00 m,0.30 m,"Compuestas, bipinnada",Foliolos con margen  entero,Verde claro,Racimos,Amarillo,Marzo-Mayo,Vaina,Verde a cafe claro,Enero-Septiembre,Verde brillante,"Lisa, tiene espinas estipuladas pequeñas. ","Matorral Xerófilo, bosque tropical caducifolio, bosque tropical subperennifolio, selva baja espinosa caducifolia y selva baja caducifolia y subperennifolia",Pleno sol,Bajo,Moderado-Rapido,Caducifolio,"Nativo de Sonora, México y Baja California","Muchos tipos de animales comen fácilmente las vainas, incluidas varias especies de aves y mamiferos"," Se ha utilizado como especie forrajera, sus hojas y vainas son consumidas por el ganado",Evitar la irrigación excesiva ,"Se adapta fácilmente a suelos desérticos, degradados y con baja disponibilidad hídrica. 
Tiende a coloniza rápidamente el área. ",Regular para dar forma y reforzar la estructura,Poco,No necesaria,"Escarabajos barrenadores pueden atacar las raíces causando pérdida del vigor y en ocasiones la muerte, el muérdago puede invadir las ramas","Acacia spp., Agave spp., Opuntia spp., Prosopis spp., Fouquieria spp., Heliocarpus sp., Tecoma stans, Hyptis
",Semillas y esquejes, Plantar en un sitio soleado y bien drenado. ,Profunda,-,
,R,"Palo blanco, veneno del pez (1)",Fish-poison tree (2).,Fabaceae,Piscidia mollis,Árbol,Redondeado (2).,Hasta 12.00 m (2).,Hasta 15.00 m,0.40 m (5).,"Compuestas: pinnadas, imparipinnadas, con 5–27 folíolos, opuestos (4).",Ondulado,Verde grisáceo,"Inflorescencias generalmente racemosas, a veces espigadas, axilares o laterales. Cáliz campanulado con 5 lobos subiguales pequeños(4).",Blancos con marcas rosadas a purpúreas (4).,Marzo-junio,"Frutos comprimidos, con 4 alas longitudinales, indehiscentes; semillas 1–10, reniformes (6).",Marrón a rojizo (6).,Julio y agosto (7).,Gris pálido a blanquecino (2).,Rugoso (2).,"Estribaciones del desierto, suelo arenoso (5). Suelos abiertos en las llanuras (8).",Pleno sol,Bajo,Lento,Perennifolio (2).,"Desierto mexicano (3). Se localizan principalmente en la parte norte de los neotrópicos (9), es decir, desde el sur de México, después Centroamérica y norte de Sudamérica al sur de Brasil, incluso la inmensa selva del Amazonas.","Refugio de vida silvestre, parte de las redes tróficas, parte importante del ecosistema","Madera fuerte utilizado como postes de porche, así como vigas (5). Ornamental, para dar sombra","Los nativos americanos de las Indias Occidentales descubrieron que los extractos del árbol podían sedar a los peces, lo que les permite ser capturados a mano. Esta práctica condujo a los nombres comunes del árbol: la piscifactoría y el pescado (7).","Se adapta fácilmente a suelos desérticos, degradados, con baja disponibilidad hídrica, y coloniza rápidamente el área","Para dar forma, solo si requiere",Poco a moderado,No necesaria,No encontrado,"Acacia spp., Agave spp., Opuntia spp., Prosopis spp., Fouquieria spp., Heliocarpus sp., Tecoma stans, Hyptis
",Semillas y esquejes,"Hasta que las plántulas estén bien establecidas, deben ser fertilizadas y regadas. Los recortes colocados en suelo húmedo brotan rápidamente las raíces. De hecho, se ha observado que el enraizamiento se produce con tanta facilidad, que los postes hechos de madera fresca ocasionalmente se arraigan involuntariamente (7).",Profunda,-,
,,1. https://www.desertmuseum.org/programs/alamos_trees_pismol.php,2. https://books.google.com.mx/books?id=tvk5FN3L-Q0C&pg=PA202&lpg=PA202&dq=Piscidia+mollis&source=bl&ots=7UOeVFEX_Z&sig=ACfU3U2zucKURuqdX-fBkq2znHK7Fe4vdg&hl=es&sa=X&ved=2ahUKEwjH14Ou-pnhAhWEx4MKHdOdBII4ChDoATABegQIBxAB#v=onepage&q=Piscidia%20mollis&f=true,3. http://www.flowerpictures.net/flower_database/p_flowers/palo_blanco.html,4. https://es.wikipedia.org/wiki/Piscidia,5. https://books.google.com.mx/books?id=7lIDhj5PveYC&pg=PA141&lpg=PA141&dq=piscidia+mollis+diameter&source=bl&ots=20xNZC9d6F&sig=ACfU3U3_n7CaUAceMOvsmj-i75fIPZuiow&hl=es&sa=X&ved=2ahUKEwi-q4aR4JvhAhWkPH0KHUvqCXYQ6AEwCnoECAcQAQ#v=onepage&q=piscidia%20mollis%20diameter&f=true,6. https://www.naturalista.mx/taxa/62761-Piscidia,7. https://www.revolvy.com/page/Piscidia-piscipula,8. https://books.google.com.mx/books?id=mVZSyFhE7wcC&pg=PA85&lpg=PA85&dq=piscidia+mollis+habitat&source=bl&ots=Wm2e-27CmH&sig=ACfU3U3bMfGn-c6GwxWjYG_c_6DkMzeJBg&hl=es&sa=X&ved=2ahUKEwid7sLqzO3kAhUSMawKHROVAGUQ6AEwDnoECAgQAQ#v=onepage&q=piscidia%20mollis%20habitat&f=false,9. http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0065-17372016000300286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,http://www.lasecomujeres.org/plants/ucbee_2015/feb2015_e.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,Mezquite amargo,Mezquite amargo,Fabaceae,Prosopis articulata,Arbusto - Árbol chico espinoso,"Irregular, extendida",2.00 - 5.00 m,2.00 - 4.00 m,0.60 m,"Compuestas, pinadas pares singulares",Foliolos con margen entero,Verde claro,Racimos,Amarillentas,Abr - Jul,Vaina plana seca,Cafe a rojizo,Junio- Agosto,Café,Rugosa,"Bosque espinoso (perennifolio, caducifolio), bosque tropical caducifolio, bosque tropical perennifolio (vegetación secundaria), manglar, matorral xerófilo (matorral xerófilo alto, matorral crasicaule, matorral micrófilo, matorral submontano).",Pleno sol,Bajo,Rápido,Perennifolio,México,Proporcionan alimento a la fauna silvestre y sombra a los animales domésticos, Uso ornamental y para dar sombra. Además tiene un empleo limitado como combustible (4).,"Tolera riego con agua salobre
 Fijación de N","Fomente el desarrollo de un sistema de raíces más disperso y reduzca el riesgo por vientos arrastrando los emisores de riego a diferentes distancias del tronco para alentar a las raíces a ""buscar"" agua y nutrientes",Pode según sea necesario para reforzar la estructura y la forma del árbol. El adelgazamiento periódico es el método de poda más deseable.,Frecuente,No necesaria,"Inspeccione los árboles durante la temporada de crecimiento para insectos comunes que chupen el jardín, como áfidos, trips, moscas blancas o psílidos.","Olneya tesota, Parkinsonia spp, Prosopis","Semillas, esquejes","Tiene éxito en cualquier suelo razonablemente bueno, prefiriendo un buen suelo fértil, bien drenado",Profunda,-,
,,http://www.fao.org/docrep/006/Q2580S/Q2580S07.htm,http://fenix.cichcu.unam.mx/libroe_2006/0965822/07_c03.pdf,http://www.scielo.org.ar/pdf/bsab/v41n1-2/v41n1-2a10.pdf,4. http://www.fao.org/3/Q2580S/Q2580S07.htm,,,,,,,Foliolos con margen entero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,Mezquite dulce,Texas honey mesquite,Fabaceae,Prosopis glandulosa,Arbusto - Árbol pequeño espinoso,"Irregular, extendida",7.00 - 10.00 m,7.00 - 10.00 m,0.4 m,Compuestas                                           Pinadas pares singulares,Foliolos con margen entero,Verde claro,Racimos espigados,Amarillo cremoso,Marzo-Agosto,Vaina fibrosa,"Amarilla-violácea, con estrías rojas longitudinales,",Mayo - Octubre,Marron,Rugoso,"Zonas áridas y semiáridas, así como en cursos de agua que se secan estacionalmente. En general, el rango latitudinal comprende los 37 grados norte y los 48 grados sur, sin embargo, por acción antrópica esta especie ha sido introducida a otras latitudes, como la región africana y asiática (4).",Pleno sol a sombra parcial,Bajo,Moderado,Caducifolio,"Nativa de México, sin embargo, ha sido distribuida en varias regiones secas del mundo, llegando a ser un problema para las comunidades vegetales locales. ","Proporcionan alimento a la fauna silvestre y sombra a los animales domésticos. En el ecosistema desértico, muchos organismos la prefieren como fuente de comida y de hábitat. Provee de microambiente bajo su cubierta. Su influencia sobre la diversidad y abundancia de mamíferos y aves es importante.",Árbol para producción de leña. Especie multipropósito para las zonas áridas y semiáridas,Mejora la fertilidad del suelo  barbecho. Acolchado / Cobertura de hojarasca. Fijación de nitrógeno.,"Crece en gran variedad de suelos, incluso en suelos muy pobres como dunas secas y guijosas. Suelos: areno-arcilloso, salino, erosionado, rocoso, arenoso, suelos de aluvión, litologías de yesos, calizas y lutitas Soporta vientos fuertes y
considerables.
Moderadamente resistente a heladas","No necesaria, para dar forma. Lo mejor es no podar si se desea un matorral de vida silvestre. Para lograr una forma de árbol, pode en invierno para seleccionar un tronco principal. Tenga cuidado al podar debido a espinas agudas.",Poco-baja,No necesita fertilizante  ya que es una especie  donde el estado nutricional del suelo rara vez es un factor limitante ,"Tetranychus pacificus, daña las hojas y puede defoliar la planta completamente; Alphalaroida sp invade el cogollo, Algarobius prosopis gusano minador de vainas que
destruye las semillas","Usar con otros árboles y arbustos del desierto como Agave Deserti (Agave Deserti), Elephant Tree (Bursera microphylla), Desert Lavender (Condea emoryi), Brittlebush (Encelia farinosa o actonii), Barrel Cactus (Ferocactus cylindraceus), Ocotillo (Fouquieria splendens) , Chuparosa (Justicia californica), Cactus cariblanco (Opuntia basilaris), Palo Verde (Parkinsonia sp.), Mesquite tungsteno (Prosopis pubsecens), Smoketree (Psorothamnus spinosus), Joshua Tree (Yucca brevifolia) y Yuca mojave (Yucca shidigera).",Semilla, El tiempo en que alcanza la talla óptima para su trasplante es de 4 meses. ,Puede desarrollar raíces superficiales y raíces profundas,-,
,,http://www.conabio.gob.mx/conocimiento/info_especies/arboles/doctos/46-legum44m.pdf,https://www.wildflower.org/plants/result.php?id_plant=prgl2,https://calscape.org/Prosopis-glandulosa-(Honey-Mesquite)?srchcr=sc59e2d708098cc,4. https://www.lifeder.com/prosopis-glandulosa/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,Mezquite tornillo,"Screwbean, screwpod mesquite",Fabaceae,Prosopis pubescens,Árbol pequeño o arbusto,Irregular,5.00-7.00 m,6.00-7.00 m,0.5,Compuestas bipinnadas  ,Foliolos con margen entero,Azul-verde palido,Espiculas ,Amarillentas,Mayo-Junio,Vaina  muy retorcida,Amarillo palido,Junio-Agosto,Pardo claro,Rugosa: Fibrosa,"Matorral, bosques riparios, mezquital.",Pleno sol,Moderado,Moderado,Caducifolio,"Nativo de California hacia el sur de Nevada, el extremo sudoeste de Utah, el sur y oeste de Arizona, el sudoeste y el centro sur de Nuevo México, el oeste de Texas y el norte de México, incluyendo Baja California, Sonora, Chihuahua y Coahuila","Muchos tipos de animales comen fácilmente las vainas, incluidas varias especies de aves, roedores y coyotes . Muchas especies de aves anidan y se posan en los árboles, y los pequeños mamíferos encuentran refugio en los rodales.","Fue una fuente de alimento para muchas tribus del sudoeste, incluyendo Chauilla, Pima, Apache, Cocopa y Quechan                                         Pequeño mercado de productos de madera","En el desierto, este árbol se encuentra principalmente a lo largo de los cursos de agua y en las ""tierras bajas"" que experimentan inundaciones periódicas. El árbol tolerará las plantaciones de césped. Es resistente a 0 grados F (-18 C).","Se necesita riego frecuente para promover un buen crecimiento terminal en los árboles recién plantados                       Poda para eliminar
aproximadamente el 20% del dosel durante la temporada de crecimiento ayuda a promover el desarrollo de la raíz que es proporcional al crecimiento de los brotes de los árboles jóvenes.",Adelgazamiento periódico,Frecuente- moderado,No necesaria solo un buen suelo irrigado," Inspeccione los árboles durante la temporada de crecimiento para insectos comunes que chupen el jardín, como áfidos, trips, moscas blancas o psílidos.","Olneya tesota, Parkinsonia spp, Prosopis","Semillas, esquejes", Plantar en un sitio soleado y bien drenado. ,Profunda,LC (Preocupación menor),
,,http://www.aridzonetrees.com/prosopis-pubescens.html,http://www.aridzonetrees.com/assets/prpub12.pdf,https://www.hort.purdue.edu/newcrop/duke_energy/Prosopis_glandulosa.html#Cultivation,https://www.fs.fed.us/database/feis/plants/tree/propub/all.html#HABITAT%20TYPES%20AND%20PLANT%20COMMUNITIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,Mezquite terciopelo,Velvet mesquite,Fabaceae,Prosopis velutina,Árbol mediano,Irregular,9.00 -17.00 m,9.00-13.00 m (hasta 15.00 m),0.6 m (2).,"Compuestas, alternas, deciduas, bipinnadas, espinas cuadradas rectas emparejadas 1-2 cm nacidas en los nudos",Foliolos con margen entero,Verde claro aterciopeladas,Racimos en forma de espinas,Amarillas verdosas,Mayo- Junio,Vaina   ,Amarillo palido,Junio-Agosto,Marrón oscuro,Fisurada y aspera,Bosque espinoso,Pleno sol,Moderado,Lento - moderado,Caducifolio,Origen Sur de Estados Unidos y Norte de México.,A menudo sirve como un árbol de enfermería para otras plantas de crecimiento más lento tales como cactus y arbustos,"Uso forestal para la producción de madera aserrada, postes, leña, y para producir carbón","Los árboles de mezquite de terciopelo son tolerantes a la sequía, pero florecerán con un riego moderado.
Pueden volverse inestables debido al rápido crecimiento de la corona y un sistema de raíces limitado en condiciones de césped","Se recomienda regar a saturación cada dos o tres días cuando no llueve. Es conveniente realizar deshierbes frecuentemente para evitar plantas indeseables que compitan por agua, nutrientes o luz. Remover continuamente las bolsas o ponerlas fuera del piso para que no se enraícen en el suelo.",Pode según sea necesario para reforzar la estructura y la forma del árbol,Frecuente- moderado,No necesaria ,Hongos en las ramas cuando crecen en condiciones húmedas. Gorgojos (bróquidos) de semillas.,"Olneya tesota, Parkinsonia spp, Prosopis","Semillas, esquejes", Plantar en un sitio soleado y bien drenado. ,Profundo,LC (Preocupación menor),
,,http://www.aridzonetrees.com/prosopis-velutina.html,2.http://www.conafor.gob.mx:8080/documentos/docs/13/989Prosopis%20velutina.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,Ocotillo hembra,Mexican tree ocotillo,Fouquieriaceae,Fouquieria macdougalii,Arbol pequeño o arbusto,Abierto (tallos divergentes),2.00 - 6.00 m,1.30 m (1).,0.15-0.20 m (3).,"Simples: Obovadas, de 4 cm de largo de longitud",Entero,Verde griseaseo,Tubulares,Rojo,Primavera-Verano,Inconspicuo,Marrón claro,Primavera-Verano,"Amarillento,  marrones  verde",Liso con espinas,"Hábitats deserticos y semideserticos.  Localmente común en exposiciones abiertas en una amplia gama de tipos de suelo en llanuras rocosas y laderas orientadas al sur, laderas, lechos de lava, mesetas y playas arenosas. El abrupto límite occidental probablemente esté determinado por la disminución de las precipitaciones de verano, el límite norte por las bajas temperaturas (3).",Pleno sol,Bajo,Lento,Caducifolio,"Cuestas rocosas en Sinaloa y Sonora, México","Esta especie se asocia con Pachycereus pecten-aboriginum, Ipomoea
arborescens y Ceiba acuminata, en un biotopo que es transición entre el Desierto de Sonroa y la Selva Baja Caducifolia (1). ","Es una planta utilizada a menudo en el paisaje en Phoenix y Tucson, AZ."," Fouquieria macdougalii difiere de Fouquieria splendens en su hábito arbóreo, ramas terminales colgantes y panículas corimbosas laxas. Los especímenes grandes en bosques espesos pueden confundirse con Bursera fagaroides o Jatropha cordata , pero la corteza exfoliante, verdosa, cubierta de espinas, las ramas curvas y las flores de color rojo brillante son características identificativas (3).","Muy tolerante a la sequía; sin embargo, el riego complementario del paisaje aumentará el crecimiento y el vigor.","No se requiere ninguna, solo para dar forma o retirar ramas muertas",Poco- Moderado,No necesaria,Podredumbre de la raíz si el drenaje es pobre.,"Es un miembro dominante del matorral leñoso mixto, suculento, matorral (Larrea tridentata) y asociaciones de arbustos y pastizales en pendientes rocosas bien drenados, bajadas y abanicos aluviales, a menudo con
suelos poco profundos. Es una especie dominante en matorral de desierto, matorral de lechuguilla (Agave lechuguilla) y yuca (Yuca spp.) Vegetación arbolada del desierto de Chihuahua en bajadas rocosas, pendientes y crestas","Semillas, esquejes","Dependiendo del tamaño de la plata se recomienda atar todas las ramificaciones del ocotillo con un listón resistente o una cuerda, de tal manera que su traslado sea mas facil y la posibilidad de romper las ramificaciones sea menor, tener cuidado con las raices de la planta  y cuando se vuelva a plantar desatar las ramificaciones",Semi-Profunda con algunas ramificaciones laterales,LC (Preocupación menor),
,"Matthews, Robin F. 1994. Fouquieria splendens. En: Sistema de información de efectos de fuego, [en línea]. Departamento de Agricultura de EE. UU., Servicio Forestal, Rocky Mountain Research Station,  Laboratorio de Ciencias del Fuego (Productor). Disponible: https://www.fs.fed.us/database/feis/ plants / shrub / fouspl / all.html [ 2018, 13 de septiembre].
",https://shop.cacti.com/landscape-succulents/fouquieria-macdougali/,3.http://www.llifle.com/Encyclopedia/TREES/Family/Fouquieriaceae/11333/Fouquieria_macdougalii,1. https://cals.arizona.edu/yuma/plant_index/fouquieria_macdougalii.htm,https://toptropicals.com/catalog/uid/Fouquieria_macdougalii.htm,http://www.public.asu.edu/~camartin/plants/Plant%20html%20files/fouquieriamacdougalii.html,2. Búrquez et.al. 1999. Vegetation and Habitat Diversity at the Southern Edge of the Sonoran Desert. https://www.researchgate.net/profile/Alberto_Burquez/publication/239522466_Vegetation_and_habitat_diversity_at_the_southern_desert_edge_of_the_Sonoran_Desert/links/0deec5355a7b9001ab000000.pdf,http://www.tucsoncactus.org/pdf_files/TCSS_Ocotillo_Planting.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,"Ceiba, Pochote (2), Árbol De Algodón De Seda (3).",Motmot (2).,Malvaceae,Ceiba acuminata,Árbol,Extendido (1).,Hasta 12.00 m (3).,Hasta 5 m (*).,Hasta 1.00 m (3).,"Todas las especies tienen hojas digitadas, comúnmente 5-7 folioladas, usualmente con un pecíolo largo y delgado y pecíolos diminutos, comúnmente más o menos lanceoladas, cartáceas a coriáceas (6).",Entero (6).,Verde claro (6).,"Comúnmente con 5 pétalos bastante carnosos, más o menos lineales-oblongos a espátulados que pueden mantenerse erectos para dar una forma de embudo o más o menos campanulada, pero en la mayoría de las especies con pétalos extendidos y en algunos por ejemplo, notablemente reflejado (6).",Blanco a amarillo pálido (3).,"Mayo-junio (1). Florecen mientras están sin hojas, principalmente en la primavera de marzo a mayo, pero ocasionalmente hasta julio (4).","Frutas ovaladas grandes cuelgan de los árboles hasta el invierno (1).  El fruto es una cápsula de 5 valvados, rotundamente a elipsoidal, con un exterior casi liso, y en la cual el endocarpio se convierte en una masa blanca de fibra de algodón (de ahí los nombres comunes ""painera"", ""pochote"") que rodea el muchas semillas (6).",Verde claro a marrón claro (maduro) (*).,"Las frutas comienzan a desarrollarse desde fines de la primavera (junio) hasta el verano (agosto), maduran hasta el invierno y la primavera (4).",Marrón claro (*).,"Rugosa, espinas cónicas (1).","Llanuras, laderas y cañones del matorral espinoso (4).",Pleno sol (3).,Moderado (3).,Lento (*).,Caducifolio (*).,Estado de Sonora (*).,"Las flores son polinizadas por murciélagos (1).  Forman parte importante de la alimentación de aves, mamíferos e innumerable variedad de insectos que a su vez actúan como polinizadores.","Anteriormente Yaquis, ónavas Pimas, Tarahumaras, Guarijios y Tepehuans comian las raíces bien desarrolladas crudas o asadas como fuente de alimento o humedad. Los tarahumaras también molieron las semillas y las agregaron al maíz verde para hacer un atole llamado oliki (4).","Fácil de reconocer por sus tallos principales muy espinosos. Las semillas están incrustadas en una gran masa de fibras de algodón kapok (1). Cuando las valvas de la cápsula se caen, este kapok algodonoso ayuda a dispersar las semillas enredadas. Las semillas son redondas a piriformes a reniformes, generalmente grandes, de 5 a 10 mm, con una testa de color marrón oscuro a negro, con una superficie mate a lisa (6).",Suelo bien drenado (3).,No requiere (*).,Bajo a moderado (*).,Varias combinaciones de fertilizantes químicos tanto granulares como foliares (con los elementos N-P-K) han revelado que la especie responde mejor ,Isóptero: Coptotermes crassus Snayder. (termita). Se encuentra asociada con el síndrome de “troncos huecos” en árboles vivos de diferentes especies.,"Heliocarpus sp., Acacia sp.,Gliricidia sp., Trichilia sp., Terminalia sp., Talauma mexicana, Pithecellobium arboreum, Vochysia hondurensis, Brosimum alicastrum, Swietenia sp., Cordia alliodora, Spondias mombin, Bucida buceras.
","Semillas (1), esquejes (3).","Las plántulas son trasplantadas entre los 8 y 10 meses sembrándolas en cepas de 30 cm3.  Cuando se propaga por esquejes, éstos deben medir de 5 a 7.5 cm de diámetro por 10 a 15 cm de largo. Deben obtenerse de individuos de 2 a 3 años de edad y de ramas ortotrópicas ","Profundas: tuberosas, sugieren que las plantas experimentan una alta tasa fotosintética y la acumulación de carbohidratos en las raíces (4).",-,
,,1. http://www.desertmuseum.org/programs/alamos_trees_ceiacu.php,2. http://enciclovida.mx/especies/163263-ceiba-acuminata,3. http://www.bihrmann.dk/caudiciforms/subs/cei-acu-sub.asp,4. https://books.google.com.mx/books?id=_cq3v-RH5nMC&pg=PA95&lpg=PA95&dq=ceiba+acuminata&source=bl&ots=ivp0A30CS1&sig=ACfU3U2Iep2X3yASA2_gyjHt_krIpIrx1A&hl=es&sa=X&ved=2ahUKEwig8LiJxsnhAhUNKqwKHSG5CiY4FBDoATADegQICBAB#v=snippet&q=ceiba%20acuminata&f=true,5. http://www.polibotanica.mx/pdf/pb17/bomba.pdf,6. http://rjb.revistas.csic.es/index.php/rjb/article/view/92/91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R,Ceiba,Kapok tree,Malvaceae,Ceiba pentandra,Árbol,"Redondeada, esférica",20.00-40.00 m (hasta 70.00 m),Hasta 50.00 m,Hasta 3.00 m DAP,"Compuestas , alternas, aglomeradas en las puntas de las ramas, palmado-compuestas, de 11 a 40 cm de largo, incluyendo el pecíolo, de 7 a 8 folíolos, de 5 x 1.5 a 15 x 4 cm, angostamente elípticos.",Entero,Verde oscuro,Actinomórficas,"Blancuzcos a rosados, amarillos o dorados",Diciembre a marzo (no florecen anualmente)," Cápsulas oblongas o elípticas, con 5 valvas",Pardo morenas,Abril a junio,Gris plomiza a verdosa,"Lisa, ligeramente fisurada en ocasiones, numerosas espinas cónicas",Ampliamente distribuida en los márgenes de los ríos y bancos ribereños. Con frecuencia crece en terrenos talados y abandonados y a lo largo de los caminos. ,Pleno sol,Bajo a moderado,Rápido (5.00 m en 5 años),Caducifolio,"Originario de América Central. Se extiende desde el sur de México hasta Venezuela, Brasil y Ecuador. ","Polinización: Quiropterófila (murciélagos), entomófila (abejas) y anemófila (viento). Sombra, refugio de vida silvestre
","Obtención de fibra, ornamental, medicinal, artesanal (juguetes, instrumentos musicales), combuustible, comestible, construcción, higiene, forrajero, industrial, maderable, melífera, rituales, uso doméstico (cucharas, vasijas)","¡Las enormes raíces pueden levantar cemento, aceras, cualquier cosa! Las ceibas son árboles legendarios que tuvieron significación totémica en las regiones de la familia maya.  El nombre en español y el nombre genérico derivan de una antigua palabra caribeña que significa “bote”.
","Demandante de buena luz, suelo profundo y con buen drenaje. Evitar los espacios pequeños para plantar ",Debe eliminar todos los troncos de la competencia (y las ramas verticales) cada tres años.,Regular; unas dos veces por semana en verano y una el resto del año.,Varias combinaciones de fertilizantes químicos tanto granulares como foliares (con los elementos N-P-K) han revelado que la especie responde mejor ,Isóptero: Coptotermes crassus Snayder. (termita)Se encuentra asociada con el síndrome de “troncos huecos” en árboles vivos de diferentes especies.,"Heliocarpus sp., Acacia sp.,Gliricidia sp., Trichilia sp., Terminalia sp., Talauma mexicana, Pithecellobium arboreum, Vochysia hondurensis, Brosimum alicastrum, Swietenia sp., Cordia alliodora, Spondias mombin, Bucida buceras.
","Semilla (anemócora), esqueje o estaca, injertos"," Las plántulas son trasplantadas entre los 8 y 10 meses sembrándolas en cepas de 30 cm3.  Cuando se propaga por esquejes, éstos deben medir de 5 a 7.5 cm de diámetro por 10 a 15 cm de largo. Deben obtenerse de individuos de 2 a 3 años de edad y de ramas ortotrópicas ","Profundas: Raíces tabulares angostas extraordinariamente grandes, de 15 a 30 cm de grueso. Se extienden horizontalmente sobre las raíces grandes en un radio hasta de 3 m y tienen casi esta misma altura.
",LC (Preocupacion menor),
,,http://www.conabio.gob.mx/conocimiento/info_especies/arboles/doctos/14-bomba5m.PDF,http://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=277950&isprofile=0&,https://www.gardeningknowhow.com/ornamental/trees/kapok/kapok-tree-pruning.htm,http://www.conafor.gob.mx:8080/documentos/docs/13/899Ceiba%20pentandra.pdf,https://www.jardineriaon.com/el-arbol-ceiba-imponente-y-espinoso.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
